Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
STS-82,Gregory Harbaugh,152,17-Feb-97,17-Feb-97,06:34:00,FALSE,FALSE,FALSE,11-02-1997,"STS-82, Discovery",Earth Orbit
STS-82,Joseph Tanner,152,17-Feb-97,17-Feb-97,06:34:00,FALSE,FALSE,FALSE,11-02-1997,"STS-82, Discovery",Earth Orbit
STS-82,Mark C. Lee,153,18-Feb-97,18-Feb-97,05:17:00,FALSE,FALSE,FALSE,11-02-1997,"STS-82, Discovery",Earth Orbit
STS-82,Steven Smith,153,18-Feb-97,18-Feb-97,05:17:00,FALSE,FALSE,FALSE,11-02-1997,"STS-82, Discovery",Earth Orbit
Mir PE-23,Vasily Tsibliyev,154,29-Apr-97,29-Apr-97,04:59:00,FALSE,FALSE,FALSE,10-02-1997,Soyuz TM-25,Mir
Mir PE-23,Jerry Linenger,154,29-Apr-97,29-Apr-97,04:59:00,FALSE,FALSE,FALSE,12-01-1997,"STS-81, Atlantis",Mir
Mir PE-24,Anatoly Solovyev,155,22-Aug-97,22-Aug-97,03:16:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Pavel Vinogradov,155,22-Aug-97,22-Aug-97,03:16:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Anatoly Solovyev,156,06-Sep-97,06-Sep-97,06:00:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Michael Foale,156,06-Sep-97,06-Sep-97,06:00:00,FALSE,FALSE,FALSE,15-05-1997,"STS-84, Atlantis",Mir
STS-86,Scott Parazynski,157,01-Oct-97,01-Oct-97,05:01:00,FALSE,FALSE,FALSE,25-09-1997,"STS-86, Atlantis",Mir
STS-86,Vladimir Titov,157,01-Oct-97,01-Oct-97,05:01:00,FALSE,FALSE,FALSE,25-09-1997,"STS-86, Atlantis",Mir
Mir PE-24,Anatoly Solovyev,158,20-Oct-97,20-Oct-97,06:38:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Pavel Vinogradov,158,20-Oct-97,20-Oct-97,06:38:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Anatoly Solovyev,159,03-Nov-97,03-Nov-97,06:04:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Pavel Vinogradov,159,03-Nov-97,03-Nov-97,06:04:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Anatoly Solovyev,160,06-Nov-97,06-Nov-97,06:12:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Pavel Vinogradov,160,06-Nov-97,06-Nov-97,06:12:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
STS-87,Winston Scott,161,25-Nov-97,25-Nov-97,07:43:00,FALSE,FALSE,FALSE,19-11-1997,"STS-87, Columbia",Earth Orbit
STS-87,Takao Doi,161,25-Nov-97,25-Nov-97,07:43:00,FALSE,FALSE,FALSE,19-11-1997,"STS-87, Columbia",Earth Orbit
STS-87,Winston Scott,162,03-Dec-97,03-Dec-97,04:59:00,FALSE,FALSE,FALSE,19-11-1997,"STS-87, Columbia",Earth Orbit
STS-87,Takao Doi,162,03-Dec-97,03-Dec-97,04:59:00,FALSE,FALSE,FALSE,19-11-1997,"STS-87, Columbia",Earth Orbit
Mir PE-24,Anatoly Solovyev,163,08-Jan-98,09-Jan-98,03:06:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Pavel Vinogradov,163,08-Jan-98,09-Jan-98,03:06:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,Anatoly Solovyev,164,14-Jan-98,15-Jan-98,03:52:00,FALSE,FALSE,FALSE,05-08-1997,Soyuz TM-26,Mir
Mir PE-24,David Wolf,164,14-Jan-98,15-Jan-98,03:52:00,FALSE,FALSE,FALSE,25-09-1997,"STS-86, Atlantis",Mir
Mir PE-25,Talgat Musabayev,165,01-Apr-98,01-Apr-98,06:40:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Nikolai Budarin,165,01-Apr-98,01-Apr-98,06:40:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Talgat Musabayev,166,06-Apr-98,06-Apr-98,04:15:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Nikolai Budarin,166,06-Apr-98,06-Apr-98,04:15:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Talgat Musabayev,167,11-Apr-98,11-Apr-98,06:25:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Nikolai Budarin,167,11-Apr-98,11-Apr-98,06:25:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Talgat Musabayev,168,17-Apr-98,17-Apr-98,06:33:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Nikolai Budarin,168,17-Apr-98,17-Apr-98,06:33:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Talgat Musabayev,169,22-Apr-98,22-Apr-98,06:21:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-25,Nikolai Budarin,169,22-Apr-98,22-Apr-98,06:21:00,FALSE,FALSE,FALSE,29-01-1998,Soyuz TM-27,Mir
Mir PE-26,Gennady Padalka,170,15-Sep-98,15-Sep-98,00:30:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
Mir PE-26,Sergei Avdeyev,170,15-Sep-98,15-Sep-98,00:30:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
Mir PE-26,Gennady Padalka,171,10-Nov-98,11-Nov-98,05:55:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
Mir PE-26,Sergei Avdeyev,171,10-Nov-98,11-Nov-98,05:55:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
STS-88,Jerry L. Ross,172,07-Dec-98,08-Dec-98,07:21:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
STS-88,James H. Newman,172,07-Dec-98,08-Dec-98,07:21:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
STS-88,Jerry L. Ross,173,09-Dec-98,10-Dec-98,07:02:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
STS-88,James H. Newman,173,09-Dec-98,10-Dec-98,07:02:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
STS-88,Jerry L. Ross,174,12-Dec-98,13-Dec-98,06:59:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
STS-88,James H. Newman,174,12-Dec-98,13-Dec-98,06:59:00,FALSE,FALSE,FALSE,04-12-1998,"STS-88, Endeavour",ISS
Mir PE-27,Viktor M. Afanasyev,175,16-Apr-99,16-Apr-99,06:19:00,FALSE,FALSE,FALSE,20-02-1999,Soyuz TM-29,Mir
Mir PE-27,Jean-Pierre Haigneré,175,16-Apr-99,16-Apr-99,06:19:00,FALSE,FALSE,FALSE,20-02-1999,Soyuz TM-29,Mir
STS-96,Tamara E. Jernigan,176,30-May-99,30-May-99,07:55:00,FALSE,FALSE,FALSE,27-05-1999,"STS-96, Discovery",ISS
STS-96,Daniel Barry,176,30-May-99,30-May-99,07:55:00,FALSE,FALSE,FALSE,27-05-1999,"STS-96, Discovery",ISS
Mir PE-27,Viktor M. Afanasyev,177,23-Jul-99,23-Jul-99,06:07:00,FALSE,FALSE,FALSE,20-02-1999,Soyuz TM-29,Mir
Mir PE-27,Sergei Avdeyev,177,23-Jul-99,23-Jul-99,06:07:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
Mir PE-27,Viktor M. Afanasyev,178,28-Jul-99,28-Jul-99,05:22:00,FALSE,FALSE,FALSE,20-02-1999,Soyuz TM-29,Mir
Mir PE-27,Sergei Avdeyev,178,28-Jul-99,28-Jul-99,05:22:00,FALSE,FALSE,FALSE,13-08-1998,Soyuz TM-28,Mir
STS-103,Steven Smith,179,22-Dec-99,23-Dec-99,08:15:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
STS-103,John Grunsfeld,179,22-Dec-99,23-Dec-99,08:15:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
STS-103,Michael Foale,180,23-Dec-99,24-Dec-99,08:10:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
STS-103,Claude Nicollier,180,23-Dec-99,24-Dec-99,08:10:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
STS-103,Steven Smith,181,24-Dec-99,25-Dec-99,08:08:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
STS-103,John Grunsfeld,181,24-Dec-99,25-Dec-99,08:08:00,FALSE,FALSE,FALSE,20-12-1999,"STS-103, Discovery",Earth Orbit
Mir PE-28,Sergei Zalyotin,182,12-May-00,12-May-00,04:52:00,FALSE,FALSE,FALSE,04-04-2000,Soyuz TM-30,Mir
Mir PE-28,Alexsandr Kaleri,182,12-May-00,12-May-00,04:52:00,FALSE,FALSE,FALSE,04-04-2000,Soyuz TM-30,Mir
STS-101,James S. Voss,183,22-May-00,22-May-00,06:44:00,FALSE,FALSE,FALSE,19-05-2000,"STS-101, Atlantis",ISS
STS-101,Jeffrey Williams,183,22-May-00,22-May-00,06:44:00,FALSE,FALSE,FALSE,19-05-2000,"STS-101, Atlantis",ISS
STS-106,Edward Lu,184,11-Sep-00,11-Sep-00,06:14:00,FALSE,FALSE,FALSE,08-09-2000,"STS-106, Atlantis",ISS
STS-106,Yuri Malenchenko,184,11-Sep-00,11-Sep-00,06:14:00,FALSE,FALSE,FALSE,08-09-2000,"STS-106, Atlantis",ISS
STS-92,Leroy Chiao,185,15-Oct-00,15-Oct-00,06:28:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,William S. McArthur,185,15-Oct-00,15-Oct-00,06:28:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,Michael Lopez-Alegria,186,16-Oct-00,16-Oct-00,07:07:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,Peter Wisoff,186,16-Oct-00,16-Oct-00,07:07:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,Leroy Chiao,187,17-Oct-00,17-Oct-00,06:48:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,William S. McArthur,187,17-Oct-00,17-Oct-00,06:48:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,Michael Lopez-Alegria,188,18-Oct-00,18-Oct-00,06:56:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-92,Peter Wisoff,188,18-Oct-00,18-Oct-00,06:56:00,FALSE,FALSE,FALSE,11-10-2000,"STS-92, Discovery",ISS
STS-97,Joseph Tanner,189,03-Dec-00,04-Dec-00,07:33:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-97,Carlos I. Noriega,189,03-Dec-00,04-Dec-00,07:33:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-97,Joseph Tanner,190,05-Dec-00,05-Dec-00,06:37:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-97,Carlos I. Noriega,190,05-Dec-00,05-Dec-00,06:37:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-97,Joseph Tanner,191,07-Dec-00,07-Dec-00,05:10:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-97,Carlos I. Noriega,191,07-Dec-00,07-Dec-00,05:10:00,FALSE,FALSE,FALSE,01-12-2000,"STS-97, Endeavour",ISS
STS-98,Thomas D. Jones,192,10-Feb-01,10-Feb-01,07:34:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-98,Robert Curbeam,192,10-Feb-01,10-Feb-01,07:34:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-98,Thomas D. Jones,193,12-Feb-01,12-Feb-01,06:50:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-98,Robert Curbeam,193,12-Feb-01,12-Feb-01,06:50:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-98,Thomas D. Jones,194,14-Feb-01,14-Feb-01,05:25:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-98,Robert Curbeam,194,14-Feb-01,14-Feb-01,05:25:00,FALSE,FALSE,FALSE,07-02-2001,"STS-98, Atlantis",ISS
STS-102,James S. Voss,195,11-Mar-01,11-Mar-01,08:56:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
STS-102,Susan Helms,195,11-Mar-01,11-Mar-01,08:56:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
STS-102,Andrew Thomas,196,13-Mar-01,13-Mar-01,06:21:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
STS-102,Paul W. Richards,196,13-Mar-01,13-Mar-01,06:21:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
STS-100,Chris Hadfield,197,22-Apr-01,22-Apr-01,07:10:00,FALSE,FALSE,FALSE,19-04-2001,"STS-100, Endeavour",ISS
STS-100,Scott Parazynski,197,22-Apr-01,22-Apr-01,07:10:00,FALSE,FALSE,FALSE,19-04-2001,"STS-100, Endeavour",ISS
STS-100,Chris Hadfield,198,24-Apr-01,24-Apr-01,07:40:00,FALSE,FALSE,FALSE,19-04-2001,"STS-100, Endeavour",ISS
STS-100,Scott Parazynski,198,24-Apr-01,24-Apr-01,07:40:00,FALSE,FALSE,FALSE,19-04-2001,"STS-100, Endeavour",ISS
ISS Expedition 2,Yury Usachov,199,08-Jun-01,08-Jun-01,00:19:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
ISS Expedition 2,James S. Voss,199,08-Jun-01,08-Jun-01,00:19:00,FALSE,FALSE,FALSE,08-03-2001,"STS-102, Discovery",ISS
