Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
STS-110,Steven Smith,220,14-Apr-02,14-Apr-02,06:27:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Rex Walheim,220,14-Apr-02,14-Apr-02,06:27:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Jerry L. Ross,221,16-Apr-02,16-Apr-02,06:37:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-110,Lee Morin,221,16-Apr-02,16-Apr-02,06:37:00,FALSE,FALSE,FALSE,08-04-2002,"STS-110, Atlantis",ISS
STS-111,Franklin Chang-Diaz,222,09-Jun-02,09-Jun-02,07:14:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
STS-111,Philippe Perrin,222,09-Jun-02,09-Jun-02,07:14:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
STS-111,Franklin Chang-Diaz,223,11-Jun-02,11-Jun-02,07:14:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
STS-111,Philippe Perrin,223,11-Jun-02,11-Jun-02,07:14:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
STS-111,Franklin Chang-Diaz,224,13-Jun-02,13-Jun-02,07:17:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
STS-111,Philippe Perrin,224,13-Jun-02,13-Jun-02,07:17:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
ISS Expedition 5,Valery Korzun,225,16-Aug-02,16-Aug-02,04:23:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
ISS Expedition 5,Peggy Whitson,225,16-Aug-02,16-Aug-02,04:23:00,FALSE,FALSE,FALSE,05-06-2002,"STS-111, Endeavour",ISS
