Crew Name,Spacecraft (Launch),Spacecraft (Return),Changed craft,Duration (days),Launch date,Return date,Destination,Space Station,Mission Result
Donald Pettit,"STS-126, Endeavour","STS-126, Endeavour",FALSE,15.85,15-11-2008,30-11-2008,ISS,ISS,Returned
Eric A. Boe,"STS-126, Endeavour","STS-126, Endeavour",FALSE,15.85,15-11-2008,30-11-2008,ISS,ISS,Returned
Heidemarie Stefanyshyn-Piper,"STS-126, Endeavour","STS-126, Endeavour",FALSE,15.85,15-11-2008,30-11-2008,ISS,ISS,Returned
Robert S. Kimbrough,"STS-126, Endeavour","STS-126, Endeavour",FALSE,15.85,15-11-2008,30-11-2008,ISS,ISS,Returned
Sandra Magnus,"STS-126, Endeavour","STS-119, Discovery",TRUE,133.76,15-11-2008,28-03-2009,ISS,ISS,Returned
Stephen G. Bowen,"STS-126, Endeavour","STS-126, Endeavour",FALSE,15.85,15-11-2008,30-11-2008,ISS,ISS,Returned
Dominic A. Antonelli,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
John Phillips,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
Joseph M. Acaba,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
Koichi Wakata,"STS-119, Discovery","STS-127, Endeavour",TRUE,137.63,15-03-2009,31-07-2009,ISS,ISS,Returned
Lee Archambault,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
Richard R. Arnold,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
Steven Swanson,"STS-119, Discovery","STS-119, Discovery",FALSE,12.81,15-03-2009,28-03-2009,ISS,ISS,Returned
Charles Simonyi,Soyuz TMA-14,Soyuz TMA-13,TRUE,12.81,26-03-2009,08-04-2009,ISS,ISS,Returned
Gennady Padalka,Soyuz TMA-14,Soyuz TMA-14,FALSE,198.7,26-03-2009,11-10-2009,ISS,ISS,Returned
Michael Barratt,Soyuz TMA-14,Soyuz TMA-14,FALSE,198.7,26-03-2009,11-10-2009,ISS,ISS,Returned
Andrew J. Feustel,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
Gregory C. Johnson,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
John Grunsfeld,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
K. Megan McArthur,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
Michael Massimino,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
Michael T. Good,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
Scott Altman,"STS-125, Atlantis","STS-125, Atlantis",FALSE,12.9,11-05-2009,24-05-2009,Earth Orbit,None visited,Returned
Frank De Winne,Soyuz TMA-15,Soyuz TMA-15,FALSE,187.86,27-05-2009,01-12-2009,ISS,ISS,Returned
Robert Thirsk,Soyuz TMA-15,Soyuz TMA-15,FALSE,187.86,27-05-2009,01-12-2009,ISS,ISS,Returned
Roman Romanenko,Soyuz TMA-15,Soyuz TMA-15,FALSE,187.86,27-05-2009,01-12-2009,ISS,ISS,Returned
Christopher J. Cassidy,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
David Wolf,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
Douglas G. Hurley,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
Julie Payette,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
Mark Polansky,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
Thomas H. Marshburn,"STS-127, Endeavour","STS-127, Endeavour",FALSE,15.7,15-07-2009,31-07-2009,ISS,ISS,Returned
Timothy L. Kopra,"STS-127, Endeavour","STS-128, Discovery",TRUE,58.12,15-07-2009,12-09-2009,ISS,ISS,Returned
Christer Fuglesang,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
Frederick Sturckow,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
John D. Olivas,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
José M. Hernández,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
Kevin A. Ford,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
Nicole Stott,"STS-128, Discovery","STS-129, Atlantis",TRUE,90.45,29-08-2009,27-11-2009,ISS,ISS,Returned
Patrick Forrester,"STS-128, Discovery","STS-128, Discovery",FALSE,13.87,29-08-2009,12-09-2009,ISS,ISS,Returned
Guy Laliberté,Soyuz TMA-16,Soyuz TMA-14,TRUE,10.89,30-09-2009,11-10-2009,ISS,ISS,Returned
Jeffrey Williams,Soyuz TMA-16,Soyuz TMA-16,FALSE,169.17,30-09-2009,18-03-2010,ISS,ISS,Returned
Maksim Surayev,Soyuz TMA-16,Soyuz TMA-16,FALSE,169.17,30-09-2009,18-03-2010,ISS,ISS,Returned
Barry Wilmore,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Charles Hobaugh,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Leland D. Melvin,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Michael Foreman,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Randolph Bresnik,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Robert Satcher,"STS-129, Atlantis","STS-129, Atlantis",FALSE,10.8,16-11-2009,27-11-2009,ISS,ISS,Returned
Oleg Kotov,Soyuz TMA-17,Soyuz TMA-17,FALSE,163.23,20-12-2009,02-06-2010,ISS,ISS,Returned
Soichi Noguchi,Soyuz TMA-17,Soyuz TMA-17,FALSE,163.23,20-12-2009,02-06-2010,ISS,ISS,Returned
Timothy Creamer,Soyuz TMA-17,Soyuz TMA-17,FALSE,163.23,20-12-2009,02-06-2010,ISS,ISS,Returned
George D. Zamka,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Kathryn Hire,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Nicholas Patrick,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Robert L. Behnken,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Stephen Robinson,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Terry W. Virts,"STS-130, Endeavour","STS-130, Endeavour",FALSE,13.76,08-02-2010,22-02-2010,ISS,ISS,Returned
Aleksandr Skvortsov,Soyuz TMA-18,Soyuz TMA-18,FALSE,176.05,02-04-2010,25-09-2010,ISS,ISS,Returned
Mikhail Korniyenko,Soyuz TMA-18,Soyuz TMA-18,FALSE,176.05,02-04-2010,25-09-2010,ISS,ISS,Returned
Tracy Caldwell Dyson,Soyuz TMA-18,Soyuz TMA-18,FALSE,176.05,02-04-2010,25-09-2010,ISS,ISS,Returned
Alan G. Poindexter,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Clayton Anderson,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Dorothy Metcalf-Lindenburger,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
James Dutton,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Naoko Yamazaki,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Richard Mastracchio,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Stephanie Wilson,"STS-131, Discovery","STS-131, Discovery",FALSE,15.12,05-04-2010,20-04-2010,ISS,ISS,Returned
Dominic A. Antonelli,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Garrett Reisman,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Kenneth Ham,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Michael T. Good,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Piers Sellers,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Stephen G. Bowen,"STS-132, Atlantis","STS-132, Atlantis",FALSE,11.77,14-05-2010,26-05-2010,ISS,ISS,Returned
Douglas H. Wheelock,Soyuz TMA-19,Soyuz TMA-19,FALSE,163.3,15-06-2010,26-11-2010,ISS,ISS,Returned
Fyodor Yurchikhin,Soyuz TMA-19,Soyuz TMA-19,FALSE,163.3,15-06-2010,26-11-2010,ISS,ISS,Returned
Shannon Walker,Soyuz TMA-19,Soyuz TMA-19,FALSE,163.3,15-06-2010,26-11-2010,ISS,ISS,Returned
Alexsandr Kaleri,Soyuz TMA-01M,Soyuz TMA-01M,FALSE,159.36,07-10-2010,16-03-2011,ISS,ISS,Returned
Oleg Skripochka,Soyuz TMA-01M,Soyuz TMA-01M,FALSE,159.36,07-10-2010,16-03-2011,ISS,ISS,Returned
Scott Kelly,Soyuz TMA-01M,Soyuz TMA-01M,FALSE,159.36,07-10-2010,16-03-2011,ISS,ISS,Returned
Catherine Coleman,Soyuz TMA-20,Soyuz TMA-20,FALSE,159.3,15-12-2010,24-05-2011,ISS,ISS,Returned
Dmitri Kondratyev,Soyuz TMA-20,Soyuz TMA-20,FALSE,159.3,15-12-2010,24-05-2011,ISS,ISS,Returned
Paolo A. Nespoli,Soyuz TMA-20,Soyuz TMA-20,FALSE,159.3,15-12-2010,24-05-2011,ISS,ISS,Returned
B. Alvin Drew,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Eric A. Boe,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Michael Barratt,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Nicole Stott,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Stephen G. Bowen,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Steven Lindsey,"STS-133, Discovery","STS-133, Discovery",FALSE,12.8,24-02-2011,09-03-2011,ISS,ISS,Returned
Aleksandr Samokutyayev,Soyuz TMA-21,Soyuz TMA-21,FALSE,164.24,04-04-2011,16-09-2011,ISS,ISS,Returned
Andrei Borisenko,Soyuz TMA-21,Soyuz TMA-21,FALSE,164.24,04-04-2011,16-09-2011,ISS,ISS,Returned
Ronald Garan,Soyuz TMA-21,Soyuz TMA-21,FALSE,164.24,04-04-2011,16-09-2011,ISS,ISS,Returned
Andrew J. Feustel,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Gregory Chamitoff,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Gregory H. Johnson,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Mark Kelly,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Michael Fincke,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Roberto Vittori,"STS-134, Endeavour","STS-134, Endeavour",FALSE,15.74,16-05-2011,01-06-2011,ISS,ISS,Returned
Michael Fossum,Soyuz TMA-02M,Soyuz TMA-02M,FALSE,167.26,07-06-2011,22-11-2011,ISS,ISS,Returned
Satoshi Furukawa,Soyuz TMA-02M,Soyuz TMA-02M,FALSE,167.26,07-06-2011,22-11-2011,ISS,ISS,Returned
Sergey Volkov,Soyuz TMA-02M,Soyuz TMA-02M,FALSE,167.26,07-06-2011,22-11-2011,ISS,ISS,Returned
Christopher Ferguson,"STS-135, Atlantis","STS-135, Atlantis",FALSE,12.77,08-07-2011,21-07-2011,ISS,ISS,Returned
Douglas G. Hurley,"STS-135, Atlantis","STS-135, Atlantis",FALSE,12.77,08-07-2011,21-07-2011,ISS,ISS,Returned
Rex Walheim,"STS-135, Atlantis","STS-135, Atlantis",FALSE,12.77,08-07-2011,21-07-2011,ISS,ISS,Returned
Sandra Magnus,"STS-135, Atlantis","STS-135, Atlantis",FALSE,12.77,08-07-2011,21-07-2011,ISS,ISS,Returned
Anatoli Ivanishin,Soyuz TMA-22,Soyuz TMA-22,FALSE,165.31,14-11-2011,27-04-2012,ISS,ISS,Returned
Anton Shkaplerov,Soyuz TMA-22,Soyuz TMA-22,FALSE,165.31,14-11-2011,27-04-2012,ISS,ISS,Returned
Daniel Burbank,Soyuz TMA-22,Soyuz TMA-22,FALSE,165.31,14-11-2011,27-04-2012,ISS,ISS,Returned
André Kuipers,Soyuz TMA-03M,Soyuz TMA-03M,FALSE,192.79,21-12-2011,01-07-2012,ISS,ISS,Returned
Donald Pettit,Soyuz TMA-03M,Soyuz TMA-03M,FALSE,192.79,21-12-2011,01-07-2012,ISS,ISS,Returned
Oleg Kononenko,Soyuz TMA-03M,Soyuz TMA-03M,FALSE,192.79,21-12-2011,01-07-2012,ISS,ISS,Returned
Gennady Padalka,Soyuz TMA-04M,Soyuz TMA-04M,FALSE,124.99,15-05-2012,17-09-2012,ISS,ISS,Returned
Joseph M. Acaba,Soyuz TMA-04M,Soyuz TMA-04M,FALSE,124.99,15-05-2012,17-09-2012,ISS,ISS,Returned
Sergei Revin,Soyuz TMA-04M,Soyuz TMA-04M,FALSE,124.99,15-05-2012,17-09-2012,ISS,ISS,Returned
Jing Haipeng,Shenzhou 9,Shenzhou 9,FALSE,12.64,16-06-2012,29-06-2012,Other Space station,Tiangong-1,Returned
Liu Wang,Shenzhou 9,Shenzhou 9,FALSE,12.64,16-06-2012,29-06-2012,Other Space station,Tiangong-1,Returned
Liu Yang,Shenzhou 9,Shenzhou 9,FALSE,12.64,16-06-2012,29-06-2012,Other Space station,Tiangong-1,Returned
Akihiko Hoshide,Soyuz TMA-05M,Soyuz TMA-05M,FALSE,126.97,15-07-2012,19-11-2012,ISS,ISS,Returned
Sunita Williams,Soyuz TMA-05M,Soyuz TMA-05M,FALSE,126.97,15-07-2012,19-11-2012,ISS,ISS,Returned
Yuri Malenchenko,Soyuz TMA-05M,Soyuz TMA-05M,FALSE,126.97,15-07-2012,19-11-2012,ISS,ISS,Returned
Evgeny Tarelkin,Soyuz TMA-06M,Soyuz TMA-06M,FALSE,143.68,23-10-2012,16-03-2013,ISS,ISS,Returned
Kevin A. Ford,Soyuz TMA-06M,Soyuz TMA-06M,FALSE,143.68,23-10-2012,16-03-2013,ISS,ISS,Returned
Oleg Novitskiy,Soyuz TMA-06M,Soyuz TMA-06M,FALSE,143.68,23-10-2012,16-03-2013,ISS,ISS,Returned
Chris Hadfield,Soyuz TMA-07M,Soyuz TMA-07M,FALSE,145.6,19-12-2012,14-05-2013,ISS,ISS,Returned
Roman Romanenko,Soyuz TMA-07M,Soyuz TMA-07M,FALSE,145.6,19-12-2012,14-05-2013,ISS,ISS,Returned
Thomas H. Marshburn,Soyuz TMA-07M,Soyuz TMA-07M,FALSE,145.6,19-12-2012,14-05-2013,ISS,ISS,Returned
Alexander Misurkin,Soyuz TMA-08M,Soyuz TMA-08M,FALSE,166.26,28-03-2013,11-09-2013,ISS,ISS,Returned
Christopher J. Cassidy,Soyuz TMA-08M,Soyuz TMA-08M,FALSE,166.26,28-03-2013,11-09-2013,ISS,ISS,Returned
Pavel Vinogradov,Soyuz TMA-08M,Soyuz TMA-08M,FALSE,166.26,28-03-2013,11-09-2013,ISS,ISS,Returned
Fyodor Yurchikhin,Soyuz TMA-09M,Soyuz TMA-09M,FALSE,166.26,28-05-2013,11-11-2013,ISS,ISS,Returned
Karen Nyberg,Soyuz TMA-09M,Soyuz TMA-09M,FALSE,166.26,28-05-2013,11-11-2013,ISS,ISS,Returned
Luca Parmitano,Soyuz TMA-09M,Soyuz TMA-09M,FALSE,166.26,28-05-2013,11-11-2013,ISS,ISS,Returned
Nie Haisheng,Shenzhou 10,Shenzhou 10,FALSE,14.6,11-06-2013,26-06-2013,Other Space station,Tiangong-1,Returned
Wang Yaping,Shenzhou 10,Shenzhou 10,FALSE,14.6,11-06-2013,26-06-2013,Other Space station,Tiangong-1,Returned
Zhang Xiaoguang,Shenzhou 10,Shenzhou 10,FALSE,14.6,11-06-2013,26-06-2013,Other Space station,Tiangong-1,Returned
Michael S. Hopkins,Soyuz TMA-10M,Soyuz TMA-10M,FALSE,166.27,25-09-2013,11-03-2014,ISS,ISS,Returned
Oleg Kotov,Soyuz TMA-10M,Soyuz TMA-10M,FALSE,166.27,25-09-2013,11-03-2014,ISS,ISS,Returned
Sergey Ryazansky,Soyuz TMA-10M,Soyuz TMA-10M,FALSE,166.27,25-09-2013,11-03-2014,ISS,ISS,Returned
Koichi Wakata,Soyuz TMA-11M,Soyuz TMA-11M,FALSE,187.91,07-11-2013,14-05-2014,ISS,ISS,Returned
Mikhail Tyurin,Soyuz TMA-11M,Soyuz TMA-11M,FALSE,187.91,07-11-2013,14-05-2014,ISS,ISS,Returned
Richard Mastracchio,Soyuz TMA-11M,Soyuz TMA-11M,FALSE,187.91,07-11-2013,14-05-2014,ISS,ISS,Returned
Aleksandr Skvortsov,Soyuz TMA-12M,Soyuz TMA-12M,FALSE,169.21,25-03-2014,11-09-2014,ISS,ISS,Returned
Oleg Artemyev,Soyuz TMA-12M,Soyuz TMA-12M,FALSE,169.21,25-03-2014,11-09-2014,ISS,ISS,Returned
Steven Swanson,Soyuz TMA-12M,Soyuz TMA-12M,FALSE,169.21,25-03-2014,11-09-2014,ISS,ISS,Returned
Alexander Gerst,Soyuz TMA-13M,Soyuz TMA-13M,FALSE,165.33,28-05-2014,10-11-2014,ISS,ISS,Returned
Gregory R. Wiseman,Soyuz TMA-13M,Soyuz TMA-13M,FALSE,165.33,28-05-2014,10-11-2014,ISS,ISS,Returned
Maksim Surayev,Soyuz TMA-13M,Soyuz TMA-13M,FALSE,165.33,28-05-2014,10-11-2014,ISS,ISS,Returned
Aleksandr Samokutyayev,Soyuz TMA-14M,Soyuz TMA-14M,FALSE,167.24,25-09-2014,12-03-2015,ISS,ISS,Returned
Barry Wilmore,Soyuz TMA-14M,Soyuz TMA-14M,FALSE,167.24,25-09-2014,12-03-2015,ISS,ISS,Returned
Yelena Serova,Soyuz TMA-14M,Soyuz TMA-14M,FALSE,167.24,25-09-2014,12-03-2015,ISS,ISS,Returned
Anton Shkaplerov,Soyuz TMA-15M,Soyuz TMA-15M,FALSE,199.7,23-11-2014,11-06-2015,ISS,ISS,Returned
Samantha Cristoforetti,Soyuz TMA-15M,Soyuz TMA-15M,FALSE,199.7,23-11-2014,11-06-2015,ISS,ISS,Returned
Terry W. Virts,Soyuz TMA-15M,Soyuz TMA-15M,FALSE,199.7,23-11-2014,11-06-2015,ISS,ISS,Returned
Gennady Padalka,Soyuz TMA-16M,Soyuz TMA-16M,FALSE,168.21,27-03-2015,12-09-2015,ISS,ISS,Returned
Mikhail Korniyenko,Soyuz TMA-16M,Soyuz TMA-18M,TRUE,340.36,27-03-2015,02-03-2016,ISS,ISS,Returned
Scott Kelly,Soyuz TMA-16M,Soyuz TMA-18M,TRUE,340.36,27-03-2015,02-03-2016,ISS,ISS,Returned
Kimiya Yui,Soyuz TMA-17M,Soyuz TMA-17M,FALSE,141.67,22-07-2015,11-12-2015,ISS,ISS,Returned
Kjell N. Lindgren,Soyuz TMA-17M,Soyuz TMA-17M,FALSE,141.67,22-07-2015,11-12-2015,ISS,ISS,Returned
Oleg Kononenko,Soyuz TMA-17M,Soyuz TMA-17M,FALSE,141.67,22-07-2015,11-12-2015,ISS,ISS,Returned
Andreas Mogensen,Soyuz TMA-18M,Soyuz TMA-16M,TRUE,9.84,02-09-2015,12-09-2015,ISS,ISS,Returned
Aydyn Aimbetov,Soyuz TMA-18M,Soyuz TMA-16M,TRUE,9.84,02-09-2015,12-09-2015,ISS,ISS,Returned
Sergey Volkov,Soyuz TMA-18M,Soyuz TMA-18M,FALSE,181.99,02-09-2015,02-03-2016,ISS,ISS,Returned
Tim Peake,Soyuz TMA-19M,Soyuz TMA-19M,FALSE,185.92,15-12-2015,18-06-2016,ISS,ISS,Returned
Timothy L. Kopra,Soyuz TMA-19M,Soyuz TMA-19M,FALSE,185.92,15-12-2015,18-06-2016,ISS,ISS,Returned
Yuri Malenchenko,Soyuz TMA-19M,Soyuz TMA-19M,FALSE,185.92,15-12-2015,18-06-2016,ISS,ISS,Returned
Aleksey Ovchinin,Soyuz TMA-20M,Soyuz TMA-20M,FALSE,172.16,18-03-2016,07-09-2016,ISS,ISS,Returned
Jeffrey Williams,Soyuz TMA-20M,Soyuz TMA-20M,FALSE,172.16,18-03-2016,07-09-2016,ISS,ISS,Returned
Oleg Skripochka,Soyuz TMA-20M,Soyuz TMA-20M,FALSE,172.16,18-03-2016,07-09-2016,ISS,ISS,Returned
Anatoli Ivanishin,Soyuz MS-01,Soyuz MS-01,FALSE,115.1,07-07-2016,30-10-2016,ISS,ISS,Returned
Kathleen Rubins,Soyuz MS-01,Soyuz MS-01,FALSE,115.1,07-07-2016,30-10-2016,ISS,ISS,Returned
Takuya Onishi,Soyuz MS-01,Soyuz MS-01,FALSE,115.1,07-07-2016,30-10-2016,ISS,ISS,Returned
Chen Dong,Shenzhou 11,Shenzhou 11,FALSE,32.27,16-10-2016,18-11-2016,Other Space station,Tiangong-2,Returned
Jing Haipeng,Shenzhou 11,Shenzhou 11,FALSE,32.27,16-10-2016,18-11-2016,Other Space station,Tiangong-2,Returned
Andrei Borisenko,Soyuz MS-02,Soyuz MS-02,FALSE,173.14,19-10-2016,10-04-2017,ISS,ISS,Returned
Robert S. Kimbrough,Soyuz MS-02,Soyuz MS-02,FALSE,173.14,19-10-2016,10-04-2017,ISS,ISS,Returned
Sergey Nikolayevich Ryzhikov,Soyuz MS-02,Soyuz MS-02,FALSE,173.14,19-10-2016,10-04-2017,ISS,ISS,Returned
Oleg Novitskiy,Soyuz MS-03,Soyuz MS-03,FALSE,196.75,17-11-2016,02-06-2017,ISS,ISS,Returned
Peggy Whitson,Soyuz MS-03,Soyuz MS-04,TRUE,289.21,17-11-2016,03-09-2017,ISS,ISS,Returned
Thomas Pesquet,Soyuz MS-03,Soyuz MS-03,FALSE,196.75,17-11-2016,02-06-2017,ISS,ISS,Returned
Fyodor Yurchikhin,Soyuz MS-04,Soyuz MS-04,FALSE,153.76,02-04-2017,03-09-2017,ISS,ISS,Returned
Jack D. Fischer,Soyuz MS-04,Soyuz MS-04,FALSE,153.76,02-04-2017,03-09-2017,ISS,ISS,Returned
Paolo A. Nespoli,Soyuz MS-05,Soyuz MS-05,FALSE,138.71,28-07-2017,14-12-2017,ISS,ISS,Returned
Randolph Bresnik,Soyuz MS-05,Soyuz MS-05,FALSE,138.71,28-07-2017,14-12-2017,ISS,ISS,Returned
Sergey Ryazansky,Soyuz MS-05,Soyuz MS-05,FALSE,138.71,28-07-2017,14-12-2017,ISS,ISS,Returned
Alexander Misurkin,Soyuz MS-06,Soyuz MS-06,FALSE,168.22,12-09-2017,28-02-2018,ISS,ISS,Returned
Joseph M. Acaba,Soyuz MS-06,Soyuz MS-06,FALSE,168.22,12-09-2017,28-02-2018,ISS,ISS,Returned
Mark T. Vande Hei,Soyuz MS-06,Soyuz MS-06,FALSE,168.22,12-09-2017,28-02-2018,ISS,ISS,Returned
Anton Shkaplerov,Soyuz MS-07,Soyuz MS-07,FALSE,168.22,17-12-2017,03-06-2018,ISS,ISS,Returned
Norishige Kanai,Soyuz MS-07,Soyuz MS-07,FALSE,168.22,17-12-2017,03-06-2018,ISS,ISS,Returned
Scott Tingle,Soyuz MS-07,Soyuz MS-07,FALSE,168.22,17-12-2017,03-06-2018,ISS,ISS,Returned
Andrew J. Feustel,Soyuz MS-08,Soyuz MS-08,FALSE,196.75,21-03-2018,04-10-2018,ISS,ISS,Returned
Oleg Artemyev,Soyuz MS-08,Soyuz MS-08,FALSE,196.75,21-03-2018,04-10-2018,ISS,ISS,Returned
Richard R. Arnold,Soyuz MS-08,Soyuz MS-08,FALSE,196.75,21-03-2018,04-10-2018,ISS,ISS,Returned
Alexander Gerst,Soyuz MS-09,Soyuz MS-09,FALSE,196.74,06-06-2018,20-12-2018,ISS,ISS,Returned
Serena Auñón-Chancellor,Soyuz MS-09,Soyuz MS-09,FALSE,196.74,06-06-2018,20-12-2018,ISS,ISS,Returned
Sergey Prokopyev,Soyuz MS-09,Soyuz MS-09,FALSE,196.74,06-06-2018,20-12-2018,ISS,ISS,Returned
Aleksey Ovchinin,Soyuz MS-10,Soyuz MS-10,FALSE,0.01,11-10-2018,11-10-2018,Non-orbital space,None visited,Returned
Nick Hague,Soyuz MS-10,Soyuz MS-10,FALSE,0.01,11-10-2018,11-10-2018,Non-orbital space,None visited,Returned
Anne McClain,Soyuz MS-11,Soyuz MS-11,FALSE,203.64,03-12-2018,25-06-2019,ISS,ISS,Returned
David Saint-Jacques,Soyuz MS-11,Soyuz MS-11,FALSE,203.64,03-12-2018,25-06-2019,ISS,ISS,Returned
Oleg Kononenko,Soyuz MS-11,Soyuz MS-11,FALSE,203.64,03-12-2018,25-06-2019,ISS,ISS,Returned
Aleksey Ovchinin,Soyuz MS-12,Soyuz MS-12,FALSE,202.66,14-03-2019,03-10-2019,ISS,ISS,Returned
Christina Koch,Soyuz MS-12,Soyuz MS-13,TRUE,328.58,14-03-2019,06-02-2020,ISS,ISS,Returned
Nick Hague,Soyuz MS-12,Soyuz MS-12,FALSE,202.66,14-03-2019,03-10-2019,ISS,ISS,Returned
Aleksandr Skvortsov,Soyuz MS-13,Soyuz MS-13,FALSE,200.7,20-07-2019,06-02-2020,ISS,ISS,Returned
Andrew Morgan,Soyuz MS-13,Soyuz MS-15,TRUE,271.53,20-07-2019,17-04-2020,ISS,ISS,Returned
